,Sr. No.,Institute Code,Institute Name,CAP-I,CAP-II,CAP-III
100,"('101.', None)","('3223', None)","(""Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3223.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3223.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3223.pdf')"
101,"('102.', None)","('3224', None)","('Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3224.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3224.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3224.pdf')"
102,"('103.', None)","('3351', None)","('Bharat College of Engineering, Kanhor, Badlapur(W)', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3351.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3351.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3351.pdf')"
103,"('104.', None)","('3353', None)","('Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3353.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3353.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3353.pdf')"
104,"('105.', None)","('3423', None)","('Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3423.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3423.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3423.pdf')"
105,"('106.', None)","('3436', None)","('B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3436.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3436.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3436.pdf')"
106,"('107.', None)","('3439', None)","(""Anjuman-I-Islam's Kalsekar Technical Campus, Panvel"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3439.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3439.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3439.pdf')"
107,"('108.', None)","('3440', None)","('Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3440.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3440.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3440.pdf')"
108,"('109.', None)","('3445', None)","('Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3445.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3445.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3445.pdf')"
109,"('110.', None)","('3447', None)","('G.M.Vedak Institute of Technology, Tala, Raigad.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3447.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3447.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3447.pdf')"
